1: 11, 10:12PM
2: 14, 10:12PM
3: 21, 10:12PM
4: 34, 10:12PM
5: 47, 10:12PM
6: 64, 10:12PM
7: 103, 10:12PM
8: 155, 10:12PM
9: 225, 10:12PM
10: 359, 10:12PM
11: 537, 10:12PM
12: 801, 10:12PM
13: 1.2k, 10:12PM
14: 1.8k, 10:12PM
15: 2.9k, 10:12PM
16: 4.2k, 10:12PM
17: 6.3k, 10:12PM
18: 9.9k, 10:12PM
19: 14.7k, 10:12PM
20: 22.5k, 10:12PM
21: 34.0k, 10:12PM
22: 51.7k, 10:12PM
23: 79.2k, 10:12PM
24: 118.0k, 10:12PM
25: 182.1k, 10:12PM
26: 277.2k, 10:12PM
27: 414.8k, 10:12PM
28: 637.1k, 10:12PM
29: 964.0k, 10:12PM
30: 1.5M, 10:12PM
31: 2.2M, 10:13PM
32: 3.4M, 10:14PM
33: 5.2M, 10:16PM
34: 7.8M, 10:29PM
35: 11.8M, 11:16PM
